Date,Close
07-15-2010,0
07-16-2010,0.04951
07-17-2010,0.08585
07-18-2010,0.09307
07-19-2010,0.08181
07-20-2010,0.07921
07-21-2010,0.08181
07-22-2010,0.06767
07-23-2010,0.06161
07-24-2010,0.05941
07-25-2010,0.056
07-26-2010,0.0605
07-27-2010,0.062
07-28-2010,0.0699
07-29-2010,0.0698
07-30-2010,0.06889
07-31-2010,0.065
08-01-2010,0.0633
08-02-2010,0.065
08-03-2010,0.06231
08-04-2010,0.061
08-05-2010,0.0624
08-06-2010,0.0622
08-07-2010,0.061
08-08-2010,0.0735
08-09-2010,0.0709
08-10-2010,0.07541
08-11-2010,0.07
08-12-2010,0.068
08-13-2010,0.0695
08-14-2010,0.067
08-15-2010,0.0679
08-16-2010,0.0769
08-17-2010,0.0733
08-18-2010,0.0679
08-19-2010,0.0667
08-20-2010,0.0669
08-21-2010,0.0664
08-22-2010,0.06689
08-23-2010,0.0665
08-24-2010,0.0665
08-25-2010,0.0658
08-26-2010,0.065
08-27-2010,0.065
08-28-2010,0.0648
08-29-2010,0.069
08-30-2010,0.0649
08-31-2010,0.0629
09-01-2010,0.0634
09-02-2010,0.063
09-03-2010,0.06238
09-04-2010,0.064
09-05-2010,0.0627
09-06-2010,0.06201
09-07-2010,0.062
09-08-2010,0.0624
09-09-2010,0.0618
09-10-2010,0.065
09-11-2010,0.0621
09-12-2010,0.064
09-13-2010,0.175
09-14-2010,0.0625
09-15-2010,0.0619
09-16-2010,0.0609
09-17-2010,0.061
09-18-2010,0.0627
09-19-2010,0.0634
09-20-2010,0.0633
09-21-2010,0.0624
09-22-2010,0.063
09-23-2010,0.0624
09-24-2010,0.0624
09-25-2010,0.06228
09-26-2010,0.06228
09-27-2010,0.06271
09-28-2010,0.062
09-29-2010,0.0619
09-30-2010,0.062
10-01-2010,0.06191
10-02-2010,0.0614
10-03-2010,0.062
10-04-2010,0.06301
10-05-2010,0.0635
10-06-2010,0.067
10-07-2010,0.088
10-08-2010,0.12
10-09-2010,0.1301
10-10-2010,0.103
10-11-2010,0.099
10-12-2010,0.105
10-13-2010,0.1045
10-14-2010,0.119
10-15-2010,0.103
10-16-2010,0.1045
10-17-2010,0.103
10-18-2010,0.1019
10-19-2010,0.103
10-20-2010,0.109
10-21-2010,0.109
10-22-2010,0.109
10-23-2010,0.19
10-24-2010,0.19
10-25-2010,0.18
10-26-2010,0.19
10-27-2010,0.191
10-28-2010,0.19
10-29-2010,0.199
10-30-2010,0.1989
10-31-2010,0.1955
11-01-2010,0.195
11-02-2010,0.275
11-03-2010,0.236
11-04-2010,0.2639
11-05-2010,0.5
11-06-2010,0.47
11-07-2010,0.37
11-08-2010,0.323
11-09-2010,0.24
11-10-2010,0.24
11-11-2010,0.29
11-12-2010,0.3
11-13-2010,0.299
11-14-2010,0.2828
11-15-2010,0.275
11-16-2010,0.29
11-17-2010,0.283
11-18-2010,0.28
11-19-2010,0.29
11-20-2010,0.282
11-21-2010,0.2879
11-22-2010,0.2845
11-23-2010,0.283
11-24-2010,0.2825
11-25-2010,0.289
11-26-2010,0.2844
11-27-2010,0.2846
11-28-2010,0.279
11-29-2010,0.2299
11-30-2010,0.2299
12-01-2010,0.2553
12-02-2010,0.2552
12-03-2010,0.2589
12-04-2010,0.235
12-05-2010,0.225
12-06-2010,0.2477
12-07-2010,0.24
12-08-2010,0.233
12-09-2010,0.204
12-10-2010,0.228
12-11-2010,0.2279
12-12-2010,0.23
12-13-2010,0.2468
12-14-2010,0.246
12-15-2010,0.255
12-16-2010,0.249
12-17-2010,0.2488
12-18-2010,0.2499
12-19-2010,0.275
12-20-2010,0.267
12-21-2010,0.25
12-22-2010,0.25
12-23-2010,0.25
12-24-2010,0.25
12-25-2010,0.27
12-26-2010,0.27
12-27-2010,0.281
12-28-2010,0.301
12-29-2010,0.3
12-30-2010,0.3
12-31-2010,0.3
01-01-2011,0.3
01-02-2011,0.2999
01-03-2011,0.2999
01-04-2011,0.299
01-05-2011,0.299
01-06-2011,0.322
01-07-2011,0.3229
01-08-2011,0.323
01-09-2011,0.329
01-10-2011,0.3266
01-11-2011,0.3557
01-12-2011,0.405
01-13-2011,0.45
01-14-2011,0.4
01-15-2011,0.4
01-16-2011,0.3868
01-17-2011,0.3495
01-18-2011,0.313
01-19-2011,0.39
01-20-2011,0.44
01-21-2011,0.4443
01-22-2011,0.4443
01-23-2011,0.4424
01-24-2011,0.425
01-25-2011,0.42
01-26-2011,0.45
01-27-2011,0.446
01-28-2011,0.445
01-29-2011,0.48
01-30-2011,0.95
01-31-2011,0.85
02-01-2011,0.76
02-02-2011,0.75
02-03-2011,0.88
02-04-2011,0.92
02-05-2011,0.92
02-06-2011,0.9
02-07-2011,0.918
02-08-2011,1.09
02-09-2011,1.1
02-10-2011,1.09
02-11-2011,1.08
02-12-2011,1.08
02-13-2011,1.08
02-14-2011,1.085
02-15-2011,1.05
02-16-2011,1.05
02-17-2011,1.04
02-18-2011,0.98
02-19-2011,0.949
02-20-2011,0.8796
02-21-2011,0.95
02-22-2011,0.945
02-23-2011,1
02-24-2011,0.9998
02-25-2011,0.97
02-26-2011,0.958
02-27-2011,0.92
02-28-2011,0.97
03-01-2011,0.94
03-02-2011,0.9399
03-03-2011,0.9391
03-04-2011,0.9189
03-05-2011,0.9098
03-06-2011,0.909
03-07-2011,0.885
03-08-2011,0.87
03-09-2011,0.9329
03-10-2011,0.925
03-11-2011,0.9197
03-12-2011,0.918
03-13-2011,0.9
03-14-2011,0.8949
03-15-2011,0.88
03-16-2011,0.88
03-17-2011,0.8506
03-18-2011,0.797
03-19-2011,0.79
03-20-2011,0.7724
03-21-2011,0.81
03-22-2011,0.85
03-23-2011,0.9
03-24-2011,0.89
03-25-2011,0.905
03-26-2011,0.8721
03-27-2011,0.85
03-28-2011,0.7997
03-29-2011,0.795
03-30-2011,0.801
03-31-2011,0.797
04-01-2011,0.7998
04-02-2011,0.7949
04-03-2011,0.785
04-04-2011,0.7478
04-05-2011,0.75
04-06-2011,0.7849
04-07-2011,0.799
04-08-2011,0.7676
04-09-2011,0.7589
04-10-2011,0.799
04-11-2011,0.899
04-12-2011,1
04-13-2011,1
04-14-2011,1.09
04-15-2011,1.095
04-16-2011,1.14
04-17-2011,1.2
04-18-2011,1.198
04-19-2011,1.198
04-20-2011,1.21
04-21-2011,1.41
04-22-2011,1.95
04-23-2011,1.95
04-24-2011,1.701
